Model,Type,Precision,Recall,F1,FPR,FNR,TP,FP,TN,FN
HBOS,Unsupervised,0.8087,0.2152,0.3399,0.0295,0.7848,740,175,5758,2699
CBLOF,Unsupervised,0.4162,0.0209,0.0399,0.017,0.9791,72,101,5832,3367
Isolation Forest,Unsupervised,0.5205,0.011,0.0216,0.0059,0.989,38,35,5898,3401
