Model,Type,Precision,Recall,F1,FPR,FNR,TP,FP,TN,FN
Logistic Regression,Supervised,0.3669,1.0,0.5369,1.0,0.0,3439,5933,0,0
SVM (RBF),Supervised,0.4704,0.8787,0.6128,0.5734,0.1213,3022,3402,2531,417
Decision Tree,Supervised,0.8066,0.8706,0.8374,0.121,0.1294,2994,718,5215,445
k-NN,Supervised,0.3996,0.2495,0.3072,0.2173,0.7505,858,1289,4644,2581
